name,formula,rows,classes,target_positives,scored_classes,macro_auc,micro_auc,top1_hit,top5_hit,min,max,mean,std
th0.02_sl0.04_entropy_a0.75,"clip(v110 + alpha*row_gate*support_gate*clip((auc_delta-threshold)/slope,0,1)*(v113-v110))",120,234,313,22,0.97911204,0.91526257,0.23287671,0.52054795,0.01114442,0.99946265,0.52113007,0.24200649
th0.02_sl0.04_entropy_a1,"clip(v110 + alpha*row_gate*support_gate*clip((auc_delta-threshold)/slope,0,1)*(v113-v110))",120,234,313,22,0.97911204,0.91532275,0.23287671,0.52054795,0.01114442,0.99946023,0.52112935,0.24194871
th0.02_sl0.04_diff_a0.1,"clip(v110 + alpha*row_gate*support_gate*clip((auc_delta-threshold)/slope,0,1)*(v113-v110))",120,234,313,22,0.97911204,0.91487850,0.21917808,0.52054795,0.01114442,0.99946969,0.52113050,0.24230312
th0.02_sl0.04_diff_a0.15,"clip(v110 + alpha*row_gate*support_gate*clip((auc_delta-threshold)/slope,0,1)*(v113-v110))",120,234,313,22,0.97911204,0.91490462,0.21917808,0.52054795,0.01114442,0.99946959,0.52112964,0.24228341
th0.02_sl0.04_diff_a0.2,"clip(v110 + alpha*row_gate*support_gate*clip((auc_delta-threshold)/slope,0,1)*(v113-v110))",120,234,313,22,0.97911204,0.91492717,0.21917808,0.52054795,0.01114442,0.99946949,0.52112878,0.24226437
th0.02_sl0.04_diff_a0.25,"clip(v110 + alpha*row_gate*support_gate*clip((auc_delta-threshold)/slope,0,1)*(v113-v110))",120,234,313,22,0.97911204,0.91495110,0.21917808,0.52054795,0.01114442,0.99946938,0.52112791,0.24224601
th0.02_sl0.04_diff_a0.3,"clip(v110 + alpha*row_gate*support_gate*clip((auc_delta-threshold)/slope,0,1)*(v113-v110))",120,234,313,22,0.97911204,0.91497941,0.21917808,0.52054795,0.01114442,0.99946928,0.52112705,0.24222831
th0.02_sl0.04_diff_a0.4,"clip(v110 + alpha*row_gate*support_gate*clip((auc_delta-threshold)/slope,0,1)*(v113-v110))",120,234,313,22,0.97911204,0.91502164,0.21917808,0.52054795,0.01114442,0.99946907,0.52112532,0.24219494
th0.02_sl0.04_diff_a0.55,"clip(v110 + alpha*row_gate*support_gate*clip((auc_delta-threshold)/slope,0,1)*(v113-v110))",120,234,313,22,0.97911204,0.91508400,0.23287671,0.52054795,0.01114442,0.99946876,0.52112274,0.24214992
th0.02_sl0.04_diff_a0.75,"clip(v110 + alpha*row_gate*support_gate*clip((auc_delta-threshold)/slope,0,1)*(v113-v110))",120,234,313,22,0.97911204,0.91514947,0.23287671,0.52054795,0.01114442,0.99946834,0.52111929,0.24209930
th0.02_sl0.04_diff_a1,"clip(v110 + alpha*row_gate*support_gate*clip((auc_delta-threshold)/slope,0,1)*(v113-v110))",120,234,313,22,0.97911204,0.91521850,0.23287671,0.52054795,0.01114442,0.99946783,0.52111497,0.24205116
th0.02_sl0.04_eco_a0.1,"clip(v110 + alpha*row_gate*support_gate*clip((auc_delta-threshold)/slope,0,1)*(v113-v110))",120,234,313,22,0.97911204,0.91489818,0.21917808,0.52054795,0.01114442,0.99946920,0.52113143,0.24229131
th0.02_sl0.04_eco_a0.15,"clip(v110 + alpha*row_gate*support_gate*clip((auc_delta-threshold)/slope,0,1)*(v113-v110))",120,234,313,22,0.97911204,0.91494086,0.21917808,0.52054795,0.01114442,0.99946885,0.52113104,0.24226598
th0.02_sl0.04_eco_a0.2,"clip(v110 + alpha*row_gate*support_gate*clip((auc_delta-threshold)/slope,0,1)*(v113-v110))",120,234,313,22,0.97911204,0.91497389,0.21917808,0.52054795,0.01114442,0.99946850,0.52113064,0.24224151
th0.02_sl0.04_eco_a0.25,"clip(v110 + alpha*row_gate*support_gate*clip((auc_delta-threshold)/slope,0,1)*(v113-v110))",120,234,313,22,0.97911204,0.91500564,0.23287671,0.52054795,0.01114442,0.99946815,0.52113025,0.24221790
th0.02_sl0.04_eco_a0.3,"clip(v110 + alpha*row_gate*support_gate*clip((auc_delta-threshold)/slope,0,1)*(v113-v110))",120,234,313,22,0.97911204,0.91503303,0.23287671,0.52054795,0.01114442,0.99946780,0.52112985,0.24219516
